USER	Get Authorized User	END	1730584714399
USER	Get Authorized User	START	1730584714478
REQUEST		get user	1730584714383	1730584714506	OK	 
USER	Get Authorized User	END	1730584714507
USER	Get Authorized User	START	1730584714586
REQUEST		get user	1730584714477	1730584714595	OK	 
USER	Get Authorized User	END	1730584714596
USER	Get Authorized User	START	1730584714679
REQUEST		get user	1730584714585	1730584714722	OK	 
USER	Get Authorized User	END	1730584714723
USER	Get Authorized User	START	1730584714786
REQUEST		get user	1730584714678	1730584714808	OK	 
USER	Get Authorized User	END	1730584714809
USER	Get Authorized User	START	1730584714878
REQUEST		get user	1730584714785	1730584714909	OK	 
USER	Get Authorized User	END	1730584714910
USER	Get Authorized User	START	1730584714985
REQUEST		get user	1730584714877	1730584714998	OK	 
USER	Get Authorized User	END	1730584714998
USER	Get Authorized User	START	1730584715079
REQUEST		get user	1730584714984	1730584715104	OK	 
USER	Get Authorized User	END	1730584715104
USER	Get Authorized User	START	1730584715186
REQUEST		get user	1730584715078	1730584715207	OK	 
USER	Get Authorized User	END	1730584715208
USER	Get Authorized User	START	1730584715276
REQUEST		get user	1730584715184	1730584715312	OK	 
USER	Get Authorized User	END	1730584715312
USER	Get Authorized User	START	1730584715386
REQUEST		get user	1730584715275	1730584715399	OK	 
USER	Get Authorized User	END	1730584715401
USER	Get Authorized User	START	1730584715479
REQUEST		get user	1730584715385	1730584715502	OK	 
USER	Get Authorized User	END	1730584715503
USER	Get Authorized User	START	1730584715574
REQUEST		get user	1730584715479	1730584715597	OK	 
USER	Get Authorized User	END	1730584715599
USER	Get Authorized User	START	1730584715680
REQUEST		get user	1730584715573	1730584715681	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584715691
USER	Get Authorized User	START	1730584715788
REQUEST		get user	1730584715679	1730584715790	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584715792
USER	Get Authorized User	START	1730584715881
REQUEST		get user	1730584715787	1730584715889	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584715891
REQUEST		get user	1730584715880	1730584715976	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584715978
USER	Get Authorized User	START	1730584715987
USER	Get Authorized User	START	1730584716080
REQUEST		get user	1730584715986	1730584716083	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584716085
REQUEST		get user	1730584716079	1730584716186	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584716188
USER	Get Authorized User	START	1730584716189
USER	Get Authorized User	START	1730584716282
REQUEST		get user	1730584716188	1730584716292	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584716294
REQUEST		get user	1730584716281	1730584716383	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584716383
USER	Get Authorized User	START	1730584716389
USER	Get Authorized User	START	1730584716483
REQUEST		get user	1730584716389	1730584716505	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584716507
USER	Get Authorized User	START	1730584716576
REQUEST		get user	1730584716482	1730584716590	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584716592
USER	Get Authorized User	START	1730584716683
REQUEST		get user	1730584716575	1730584716693	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584716695
USER	Get Authorized User	START	1730584716776
REQUEST		get user	1730584716683	1730584716782	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584716784
REQUEST		get user	1730584716775	1730584716872	KO	status.find.in([200, 209], 304), found 429
USER	Get Authorized User	END	1730584716873
USER	Get Authorized User	START	1730584716884
